Investigador,Nombre del evento,Tipo,Lugar,Ámbito,Productos asociados,Instituciones asociadas,Participantes,Año
Prueba Monitores,9° Congreso Nacional de Administradores, Congreso,CALI   - Universidad Santiago de Cali,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","ALBERTO ELIAS MUNOZ SANTIAGO: Ponente magistral
HENRY ANTONIO MENDOZA NEIRA: Ponente magistral
PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9° congreso nacional de administradores, Congreso,CALI   - Universidad santiago de cali,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9 Congreso Nacional de Administración, Congreso,CALI   - Cali,Nacional,"administracion: Producción técnica - Presentación de trabajo - Congreso
","UNIVERSIDAD DEL VALLE: Patrocinadora
","ALBERTO ELIAS MUNOZ SANTIAGO: Ponente magistral
HENRY ANTONIO MENDOZA NEIRA: Ponente magistral
PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9° Congreso Nacional de Administradores, Congreso,CALI   - Cali,Nacional,"Administracion: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","ALBERTO ELIAS MUNOZ SANTIAGO: Ponente magistral
PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9 Congreso Nacional de Administradores, Congreso,CALI   - Universidad Santiago de Cali,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9° Congreso Nacional de Aministradores., Congreso,CALI   - Universidad Santiago de Cali.,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","ALBERTO ELIAS MUNOZ SANTIAGO: Ponente magistral
HENRY ANTONIO MENDOZA NEIRA: Ponente magistral
PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9° Congreso Nacional de Administradores, Congreso,Blois   - Cali,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","ALBERTO ELIAS MUNOZ SANTIAGO: Ponente magistral
HENRY ANTONIO MENDOZA NEIRA: Ponente magistral
PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9no Congreso Nacional de Administradores, Congreso,CALI   - Univerisidad Santiago de Cali,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","PRUEBA MONITORES: Ponente , Ponente magistral
",2013
Prueba Monitores,9° Congreso nacional de administradores, Congreso,CALI   - Universidad Santiago de Cali,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","ALBERTO ELIAS MUNOZ SANTIAGO: Ponente magistral
PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9° Congreso Nacional de Administradores, Congreso,CALI   - Universidad Santiago de Cali,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9° Congreso Nacional de Administradores, Congreso,CALI   -,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","HENRY ANTONIO MENDOZA NEIRA: Ponente magistral
PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9no Congreso Nacional de Administradores, Congreso,CALI   - Universidad Santiago de Cali,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","PRUEBA MONITORES: Asistente , Ponente magistral
",2013
Prueba Monitores,9° Congreso Nacional de Administradores., Congreso,"BOGOTÁ, D.C.   - CALI",Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","PRUEBA MONITORES: Ponente magistral
",2013
Prueba Monitores,9° Congreso Nacional de Administradores, Congreso,CALI   -,Nacional,Ninguno,"UNIVERSIDAD SANTIAGO DE CALI: Patrocinadora
","ALBERTO ELIAS MUNOZ SANTIAGO: Ponente magistral
PRUEBA MONITORES: Ponente magistral
",2013
